catch_rate,height,data7,data3,data6.1,defense,sp_atk,sp_def,dexnum,special_group,percent_female,data2,hp,data5,generation,base_exp,speed,weight,total,ev_yield,data6.3,data6.2,growth_rate,data4,base_friendship,attack,egg_cycles,data1,data6,percent_male
190,0.3,Grass,Mushroom,Bug ,55,45,55,46,Ordinary,50.0,Grass,35,Dry Skin,1,57,25,5.4,285,1 Attack,Bug ,Damp,Medium Fast,Effect Spore,50,70,20,Bug,Damp,50.0
75,1.0,Grass,Mushroom,Bug ,80,60,80,47,Ordinary,50.0,Grass,60,Dry Skin,1,142,30,29.5,405,"2 Attack, 1 Defense",Bug ,Damp,Medium Fast,Effect Spore,50,95,20,Bug,Damp,50.0
190,1.0,,Insect,Bug,50,40,55,48,Ordinary,50.0,Poison,60,Tinted Lens,1,61,45,30.0,305,1 Sp. Def,Bug,Run Away,Medium Fast,Compound Eyes,50,55,20,Bug,Run Away,50.0
75,1.5,,Poison Moth,Bug,60,90,75,49,Ordinary,50.0,Poison,70,Tinted Lens,1,158,90,12.5,450,"1 Sp. Atk, 1 Speed",Bug,Wonder Skin,Medium Fast,Shield Dust,50,65,20,Bug,Wonder Skin,50.0
255,0.2,,Mole,Field,25,35,45,50,Ordinary,50.0,,10,Arena Trap,1,53,95,0.8,265,1 Speed,Field,Sand Force,Medium Fast,Sand Veil,50,55,20,Ground,Sand Force,50.0
50,0.7,,Mole,Field,50,50,70,51,Ordinary,50.0,,35,Arena Trap,1,149,120,33.3,425,2 Speed,Field,Sand Force,Medium Fast,Sand Veil,50,100,20,Ground,Sand Force,50.0
255,0.4,,Scratch Cat,Field,35,40,40,52,Ordinary,50.0,,40,Technician,1,58,90,4.2,290,1 Speed,Field,Unnerve,Medium Fast,Pickup,50,45,20,Normal,Unnerve,50.0
90,1.0,,Classy Cat,Field,60,65,65,53,Ordinary,50.0,,65,Technician,1,154,115,32.0,440,2 Speed,Field,Unnerve,Medium Fast,Limber,50,70,20,Normal,Unnerve,50.0
190,0.8,Water 1,Duck,Field ,48,65,50,54,Ordinary,50.0,,50,Cloud Nine,1,64,55,19.6,320,1 Sp. Atk,Field ,Swift Swim,Medium Fast,Damp,50,52,20,Water,Swift Swim,50.0
75,1.7,Water 1,Duck,Field ,78,95,80,55,Ordinary,50.0,,80,Cloud Nine,1,175,85,76.6,500,2 Sp. Atk,Field ,Swift Swim,Medium Fast,Damp,50,82,20,Water,Swift Swim,50.0
190,0.5,,Pig Monkey,Field,35,35,45,56,Ordinary,50.0,,40,Anger Point,1,61,70,28.0,305,1 Attack,Field,Defiant,Medium Fast,Vital Spirit,50,80,20,Fighting,Defiant,50.0
75,1.0,,Pig Monkey,Field,60,60,70,57,Ordinary,50.0,,65,Anger Point,1,159,95,32.0,455,2 Attack,Field,Defiant,Medium Fast,Vital Spirit,50,105,20,Fighting,Defiant,50.0
190,0.7,,Puppy,Field,45,70,50,58,Ordinary,25.0,,55,Flash Fire,1,70,60,19.0,350,1 Attack,Field,Justified,Slow,Intimidate,50,70,20,Fire,Justified,75.0
75,1.9,,Legendary,Field,80,100,80,59,Ordinary,25.0,,90,Flash Fire,1,194,95,155.0,555,2 Attack,Field,Justified,Slow,Intimidate,50,110,20,Fire,Justified,75.0
255,0.6,,Tadpole,Water 1,40,40,40,60,Ordinary,50.0,,40,Damp,1,60,90,12.4,300,1 Speed,Water 1,Swift Swim,Medium Slow,Water Absorb,50,50,20,Water,Swift Swim,50.0
120,1.0,,Tadpole,Water 1,65,50,50,61,Ordinary,50.0,,65,Damp,1,135,90,20.0,385,2 Speed,Water 1,Swift Swim,Medium Slow,Water Absorb,50,65,20,Water,Swift Swim,50.0
45,1.3,,Tadpole,Water 1,95,70,90,62,Ordinary,50.0,Fighting,90,Damp,1,230,70,54.0,510,3 Defense,Water 1,Swift Swim,Medium Slow,Water Absorb,50,95,20,Water,Swift Swim,50.0
200,0.9,,Psi,Human-Like,15,105,55,63,Ordinary,25.0,,25,Inner Focus,1,62,90,19.5,310,1 Sp. Atk,Human-Like,Magic Guard,Medium Slow,Synchronize,50,20,20,Psychic,Magic Guard,75.0
100,1.3,,Psi,Human-Like,30,120,70,64,Ordinary,25.0,,40,Inner Focus,1,140,105,56.5,400,2 Sp. Atk,Human-Like,Magic Guard,Medium Slow,Synchronize,50,35,20,Psychic,Magic Guard,75.0
50,1.5,,Psi,Human-Like,45,135,95,65,Ordinary,25.0,,55,Inner Focus,1,225,120,48.0,500,3 Sp. Atk,Human-Like,Magic Guard,Medium Slow,Synchronize,50,50,20,Psychic,Magic Guard,75.0
180,0.8,,Superpower,Human-Like,50,35,35,66,Ordinary,25.0,,70,No Guard,1,61,35,19.5,305,1 Attack,Human-Like,Steadfast,Medium Slow,Guts,50,80,20,Fighting,Steadfast,75.0
90,1.5,,Superpower,Human-Like,70,50,60,67,Ordinary,25.0,,80,No Guard,1,142,45,70.5,405,2 Attack,Human-Like,Steadfast,Medium Slow,Guts,50,100,20,Fighting,Steadfast,75.0
45,1.6,,Superpower,Human-Like,80,65,85,68,Ordinary,25.0,,90,No Guard,1,227,55,130.0,505,3 Attack,Human-Like,Steadfast,Medium Slow,Guts,50,130,20,Fighting,Steadfast,75.0
255,0.7,,Flower,Grass,35,70,30,69,Ordinary,50.0,Poison,50,Gluttony,1,60,40,4.0,300,1 Attack,Grass,,Medium Slow,Chlorophyll,50,75,20,Grass,,50.0
120,1.0,,Flycatcher,Grass,50,85,45,70,Ordinary,50.0,Poison,65,Gluttony,1,137,55,6.4,390,2 Attack,Grass,,Medium Slow,Chlorophyll,50,90,20,Grass,,50.0
45,1.7,,Flycatcher,Grass,65,100,70,71,Ordinary,50.0,Poison,80,Gluttony,1,221,70,15.5,490,3 Attack,Grass,,Medium Slow,Chlorophyll,50,105,20,Grass,,50.0
190,0.9,,Jellyfish,Water 3,35,50,100,72,Ordinary,50.0,Poison,40,Liquid Ooze,1,67,70,45.5,335,1 Sp. Def,Water 3,Rain Dish,Slow,Clear Body,50,40,20,Water,Rain Dish,50.0
60,1.6,,Jellyfish,Water 3,65,80,120,73,Ordinary,50.0,Poison,80,Liquid Ooze,1,180,100,55.0,515,2 Sp. Def,Water 3,Rain Dish,Slow,Clear Body,50,70,20,Water,Rain Dish,50.0
255,0.4,,Rock,Mineral,100,30,30,74,Ordinary,50.0,Ground,40,Sturdy,1,60,20,20.0,300,1 Defense,Mineral,Sand Veil,Medium Slow,Rock Head,50,80,15,Rock,Sand Veil,50.0
120,1.0,,Rock,Mineral,115,45,45,75,Ordinary,50.0,Ground,55,Sturdy,1,137,35,105.0,390,2 Defense,Mineral,Sand Veil,Medium Slow,Rock Head,50,95,15,Rock,Sand Veil,50.0
45,1.4,,Megaton,Mineral,130,55,65,76,Ordinary,50.0,Ground,80,Sturdy,1,223,45,300.0,495,3 Defense,Mineral,Sand Veil,Medium Slow,Rock Head,50,120,15,Rock,Sand Veil,50.0
190,1.0,,Fire Horse,Field,55,65,65,77,Ordinary,50.0,,50,Flash Fire,1,82,90,30.0,410,1 Speed,Field,Flame Body,Medium Fast,Run Away,50,85,20,Fire,Flame Body,50.0
60,1.7,,Fire Horse,Field,70,80,80,78,Ordinary,50.0,,65,Flash Fire,1,175,105,95.0,500,2 Speed,Field,Flame Body,Medium Fast,Run Away,50,100,20,Fire,Flame Body,50.0
190,1.2,Water 1,Dopey,Monster ,65,40,40,79,Ordinary,50.0,Psychic,90,Own Tempo,1,63,15,36.0,315,1 HP,Monster ,Regenerator,Medium Fast,Oblivious,50,65,20,Water,Regenerator,50.0
75,1.6,Water 1,Hermit Crab,Monster ,110,100,80,80,Ordinary,50.0,Psychic,95,Own Tempo,1,172,30,78.5,490,2 Defense,Monster ,Regenerator,Medium Fast,Oblivious,50,75,20,Water,Regenerator,50.0
190,0.3,,Magnet,Mineral,70,95,55,81,Ordinary,,Steel,25,Sturdy,1,65,45,6.0,325,1 Sp. Atk,Mineral,Analytic,Medium Fast,Magnet Pull,50,35,20,Electric,Analytic,
60,1.0,,Magnet,Mineral,95,120,70,82,Ordinary,,Steel,50,Sturdy,1,163,70,60.0,465,2 Sp. Atk,Mineral,Analytic,Medium Fast,Magnet Pull,50,60,20,Electric,Analytic,
45,0.8,Flying,Wild Duck,Field ,55,58,62,83,Ordinary,50.0,Flying,52,Inner Focus,1,132,60,15.0,377,1 Attack,Field ,Defiant,Medium Fast,Keen Eye,50,90,20,Normal,Defiant,50.0
190,1.4,,Twin Bird,Flying,45,35,35,84,Ordinary,50.0,Flying,35,Early Bird,1,62,75,39.2,310,1 Attack,Flying,Tangled Feet,Medium Fast,Run Away,50,85,20,Normal,Tangled Feet,50.0
45,1.8,,Triple Bird,Flying,70,60,60,85,Ordinary,50.0,Flying,60,Early Bird,1,165,110,85.2,470,2 Attack,Flying,Tangled Feet,Medium Fast,Run Away,50,110,20,Normal,Tangled Feet,50.0
190,1.1,Water 1,Sea Lion,Field ,55,45,70,86,Ordinary,50.0,,65,Hydration,1,65,45,90.0,325,1 Sp. Def,Field ,Ice Body,Medium Fast,Thick Fat,50,45,20,Water,Ice Body,50.0
75,1.7,Water 1,Sea Lion,Field ,80,70,95,87,Ordinary,50.0,Ice,90,Hydration,1,166,70,120.0,475,2 Sp. Def,Field ,Ice Body,Medium Fast,Thick Fat,50,70,20,Water,Ice Body,50.0
190,0.9,,Sludge,Amorphous,50,40,50,88,Ordinary,50.0,,80,Sticky Hold,1,65,25,30.0,325,1 HP,Amorphous,Poison Touch,Medium Fast,Stench,50,80,20,Poison,Poison Touch,50.0
75,1.2,,Sludge,Amorphous,75,65,100,89,Ordinary,50.0,,105,Sticky Hold,1,175,50,30.0,500,"1 HP, 1 Attack",Amorphous,Poison Touch,Medium Fast,Stench,50,105,20,Poison,Poison Touch,50.0
190,0.3,,Bivalve,Water 3,100,45,25,90,Ordinary,50.0,,30,Skill Link,1,61,40,4.0,305,1 Defense,Water 3,Overcoat,Slow,Shell Armor,50,65,20,Water,Overcoat,50.0
60,1.5,,Bivalve,Water 3,180,85,45,91,Ordinary,50.0,Ice,50,Skill Link,1,184,70,132.5,525,2 Defense,Water 3,Overcoat,Slow,Shell Armor,50,95,20,Water,Overcoat,50.0
190,1.3,,Gas,Amorphous,30,100,35,92,Ordinary,50.0,Poison,30,,1,62,80,0.1,310,1 Sp. Atk,Amorphous,,Medium Slow,Levitate,50,35,20,Ghost,,50.0
90,1.6,,Gas,Amorphous,45,115,55,93,Ordinary,50.0,Poison,45,,1,142,95,0.1,405,2 Sp. Atk,Amorphous,,Medium Slow,Levitate,50,50,20,Ghost,,50.0
45,1.5,,Shadow,Amorphous,60,130,75,94,Ordinary,50.0,Poison,60,,1,250,110,40.5,500,3 Sp. Atk,Amorphous,,Medium Slow,Cursed Body,50,65,20,Ghost,,50.0
45,8.8,,Rock Snake,Mineral,160,30,45,95,Ordinary,50.0,Ground,35,Sturdy,1,77,70,210.0,385,1 Defense,Mineral,Weak Armor,Medium Fast,Rock Head,50,45,25,Rock,Weak Armor,50.0
190,1.0,,Hypnosis,Human-Like,45,43,90,96,Ordinary,50.0,,60,Forewarn,1,66,42,32.4,328,1 Sp. Def,Human-Like,Inner Focus,Medium Fast,Insomnia,50,48,20,Psychic,Inner Focus,50.0
75,1.6,,Hypnosis,Human-Like,70,73,115,97,Ordinary,50.0,,85,Forewarn,1,169,67,75.6,483,2 Sp. Def,Human-Like,Inner Focus,Medium Fast,Insomnia,50,73,20,Psychic,Inner Focus,50.0
225,0.4,,River Crab,Water 3,90,25,25,98,Ordinary,50.0,,30,Shell Armor,1,65,50,6.5,325,1 Attack,Water 3,Sheer Force,Medium Fast,Hyper Cutter,50,105,20,Water,Sheer Force,50.0
60,1.3,,Pincer,Water 3,115,50,50,99,Ordinary,50.0,,55,Shell Armor,1,166,75,60.0,475,2 Attack,Water 3,Sheer Force,Medium Fast,Hyper Cutter,50,130,20,Water,Sheer Force,50.0
190,0.5,,Ball,Mineral,50,55,55,100,Ordinary,,,40,Static,1,66,100,10.4,330,1 Speed,Mineral,Aftermath,Medium Fast,Soundproof,50,30,20,Electric,Aftermath,
60,1.2,,Ball,Mineral,70,80,80,101,Ordinary,,,60,Static,1,172,150,66.6,490,2 Speed,Mineral,Aftermath,Medium Fast,Soundproof,50,50,20,Electric,Aftermath,
90,0.4,,Egg,Grass,80,60,45,102,Ordinary,50.0,Psychic,60,Harvest,1,65,40,2.5,325,1 Defense,Grass,,Slow,Chlorophyll,50,40,20,Grass,,50.0
45,2.0,,Coconut,Grass,85,125,75,103,Ordinary,50.0,Psychic,95,Harvest,1,186,55,120.0,530,2 Sp. Atk,Grass,,Slow,Chlorophyll,50,95,20,Grass,,50.0
190,0.4,,Lonely,Monster,95,40,50,104,Ordinary,50.0,,50,Lightning Rod,1,64,35,6.5,320,1 Defense,Monster,Battle Armor,Medium Fast,Rock Head,50,50,20,Ground,Battle Armor,50.0
75,1.0,,Bone Keeper,Monster,110,50,80,105,Ordinary,50.0,,60,Lightning Rod,1,149,45,45.0,425,2 Defense,Monster,Battle Armor,Medium Fast,Rock Head,50,80,20,Ground,Battle Armor,50.0
45,1.5,,Kicking,Human-Like,53,35,110,106,Ordinary,0.0,,50,Reckless,1,159,87,49.8,455,2 Attack,Human-Like,Unburden,Medium Fast,Limber,50,120,25,Fighting,Unburden,100.0
45,1.4,,Punching,Human-Like,79,35,110,107,Ordinary,0.0,,50,Iron Fist,1,159,76,50.2,455,2 Sp. Def,Human-Like,Inner Focus,Medium Fast,Keen Eye,50,105,25,Fighting,Inner Focus,100.0
45,1.2,,Licking,Monster,75,60,75,108,Ordinary,50.0,,90,Oblivious,1,77,30,65.5,385,2 HP,Monster,Cloud Nine,Medium Fast,Own Tempo,50,55,20,Normal,Cloud Nine,50.0
190,0.6,,Poison Gas,Amorphous,95,60,45,109,Ordinary,50.0,,40,Neutralizing Gas,1,68,35,1.0,340,1 Defense,Amorphous,Stench,Medium Fast,Levitate,50,65,20,Poison,Stench,50.0
60,1.2,,Poison Gas,Amorphous,120,85,70,110,Ordinary,50.0,,65,Neutralizing Gas,1,172,60,9.5,490,2 Defense,Amorphous,Stench,Medium Fast,Levitate,50,90,20,Poison,Stench,50.0
120,1.0,Monster,Spikes,Field ,95,30,30,111,Ordinary,50.0,Rock,80,Rock Head,1,69,25,115.0,345,1 Defense,Field ,Reckless,Slow,Lightning Rod,50,85,20,Ground,Reckless,50.0
60,1.9,Monster,Drill,Field ,120,45,45,112,Ordinary,50.0,Rock,105,Rock Head,1,170,40,120.0,485,2 Attack,Field ,Reckless,Slow,Lightning Rod,50,130,20,Ground,Reckless,50.0
30,1.1,,Egg,Fairy,5,35,105,113,Ordinary,100.0,,250,Serene Grace,1,395,50,34.6,450,2 HP,Fairy,Healer,Fast,Natural Cure,140,5,40,Normal,Healer,0.0
45,1.0,,Vine,Grass,115,100,40,114,Ordinary,50.0,,65,Leaf Guard,1,87,60,35.0,435,1 Defense,Grass,Regenerator,Medium Fast,Chlorophyll,50,55,20,Grass,Regenerator,50.0
45,2.2,,Parent,Monster,80,40,80,115,Ordinary,100.0,,105,Scrappy,1,172,90,80.0,490,2 HP,Monster,Inner Focus,Medium Fast,Early Bird,50,95,20,Normal,Inner Focus,0.0
225,0.4,Water 1,Dragon,Dragon ,70,70,25,116,Ordinary,50.0,,30,Sniper,1,59,60,8.0,295,1 Sp. Atk,Dragon ,Damp,Medium Fast,Swift Swim,50,40,20,Water,Damp,50.0
75,1.2,Water 1,Dragon,Dragon ,95,95,45,117,Ordinary,50.0,,55,Sniper,1,154,85,25.0,440,"1 Defense, 1 Sp. Atk",Dragon ,Damp,Medium Fast,Poison Point,50,65,20,Water,Damp,50.0
225,0.6,,Goldfish,Water 2,60,35,50,118,Ordinary,50.0,,45,Water Veil,1,64,63,15.0,320,1 Attack,Water 2,Lightning Rod,Medium Fast,Swift Swim,50,67,20,Water,Lightning Rod,50.0
60,1.3,,Goldfish,Water 2,65,65,80,119,Ordinary,50.0,,80,Water Veil,1,158,68,39.0,450,2 Attack,Water 2,Lightning Rod,Medium Fast,Swift Swim,50,92,20,Water,Lightning Rod,50.0
225,0.8,,Star Shape,Water 3,55,70,55,120,Ordinary,,,30,Natural Cure,1,68,85,34.5,340,1 Speed,Water 3,Analytic,Slow,Illuminate,50,45,20,Water,Analytic,
60,1.1,,Mysterious,Water 3,85,100,85,121,Ordinary,,Psychic,60,Natural Cure,1,182,115,80.0,520,2 Speed,Water 3,Analytic,Slow,Illuminate,50,75,20,Water,Analytic,
45,1.3,,Barrier,Human-Like,65,100,120,122,Ordinary,50.0,Fairy,40,Filter,1,161,90,54.5,460,2 Sp. Def,Human-Like,Technician,Medium Fast,Soundproof,50,45,25,Psychic,Technician,50.0
45,1.5,,Mantis,Bug,80,55,80,123,Ordinary,50.0,Flying,70,Technician,1,100,105,56.0,500,1 Attack,Bug,Steadfast,Medium Fast,Swarm,50,110,25,Bug,Steadfast,50.0
45,1.4,,Human Shape,Human-Like,35,115,95,124,Ordinary,100.0,Psychic,65,Forewarn,1,159,95,40.6,455,2 Sp. Atk,Human-Like,Dry Skin,Medium Fast,Oblivious,50,50,25,Ice,Dry Skin,0.0
45,1.1,,Electric,Human-Like,57,95,85,125,Ordinary,25.0,,65,Vital Spirit,1,172,105,30.0,490,2 Speed,Human-Like,,Medium Fast,Static,50,83,25,Electric,,75.0
45,1.3,,Spitfire,Human-Like,57,100,85,126,Ordinary,25.0,,65,Vital Spirit,1,173,93,44.5,495,2 Sp. Atk,Human-Like,,Medium Fast,Flame Body,50,95,25,Fire,,75.0
45,1.5,,Stag Beetle,Bug,100,55,70,127,Ordinary,50.0,,65,Mold Breaker,1,175,85,55.0,500,2 Attack,Bug,Moxie,Slow,Hyper Cutter,50,125,25,Bug,Moxie,50.0
45,1.4,,Wild Bull,Field,95,40,70,128,Ordinary,0.0,,75,Anger Point,1,172,110,88.4,490,"1 Attack, 1 Speed",Field,Sheer Force,Slow,Intimidate,50,100,20,Normal,Sheer Force,100.0
255,0.9,Water 2,Fish,Dragon ,55,15,20,129,Ordinary,50.0,,20,Rattled,1,40,80,10.0,200,1 Speed,Dragon ,,Slow,Swift Swim,50,10,5,Water,,50.0
